,SPY,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,META,NVDA,BRK-B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,AVGO,ADBE,CVX,PEP,TMO,KO,ABBV,CMCSA,NFLX,ABT,ACN,COST,CRM,INTC,WFC,VZ,PYPL,WMT,QCOM,MRK,LLY,MCD,T,NKE,DHR,LOW,LIN,TXN,NEE,AMD,UNP,PM,INTU,UPS,HON,MS,MDT,BMY,AMAT,ORCL,SCHW,CVS,RTX,C,GS,AMGN,BLK,BA,CAT,IBM,SBUX,AMT,PLD,GE,ISRG,COP,TGT,AXP,DE,MU,SPGI,MMM,NOW,BKNG,F,ADP,ZTS,LRCX,PNC,MDLZ,MO,ADI,GILD,LMT,SYK,GM,TFC,TJX
2/14/2022 0:00,-0.003269265,0.001423156,-0.000135517,0.012221683,0.018325664,0.009260326,0.008722867,-0.008426354,0.013278101,-0.015228475,-0.009290394,-0.012581163,-0.007801346,0.003625561,0.002879387,0.002892834,-0.010433932,0.011872309,-0.019298902,-0.015334641,0.009232655,-0.013358083,0.008998728,8.44E-05,-0.015416561,-0.011152053,-0.009006077,0.006468709,0.006971284,-0.004619772,0.013442053,-0.02159528,-0.009265427,-0.006102082,-0.007215007,-0.001049679,-0.00788884,-0.000937733,-0.010148306,-0.010197292,0.0029763,-0.002218135,-0.000298206,-0.006936844,-0.003315545,0.010058551,-0.004254395,0.000177003,-0.004139384,-0.011739489,-0.000533682,0.009630644,0.015660963,0.011856195,-0.012616416,0.002342156,-0.001604417,-0.019125839,-0.006602625,-0.001046629,-0.004755033,-0.01003138,-0.015374336,-0.011895573,-0.017844072,-0.010275496,-0.007767355,-0.008795091,-0.015767225,-0.010645359,-0.006708345,-0.019142398,-0.00085352,-0.011017281,-0.006629839,-0.002375327,-0.007133737,-0.021064936,-0.014133159,0.002815365,-0.013777441,0.001114199,-0.017928155,-0.009590124,-0.007092362,0.006185708,-0.00512824,-0.008881661,-0.012269216,-0.003107242,-0.013454899,-0.008395798,-0.00555893,0.000519772,-0.015466478,-0.023271613,-0.00476849,-0.008806172,-0.009122333,-0.010334796
2/15/2022 0:00,0.016126774,0.023152365,0.018542262,0.008658352,0.053290764,0.007987429,0.008318577,0.015158489,0.091811993,0.006109245,0.014623825,0.010325939,0.008073454,0.004835722,0.000510457,0.011005614,0.007802593,0.019724211,-0.000200802,-0.01253485,0.02565459,0.020496308,0.041809073,0.011582013,-0.007319861,-0.004438932,-0.00805438,0.003790338,0.012307828,0.01371297,0.027460433,0.009773543,0.010057402,0.014529328,0.038032976,0.018074647,0.009161634,0.001689535,0.011741994,0.003135482,0.047659321,0.017523172,0.038987622,0.001657514,0.012058289,0.028179948,-0.008950209,0.009515372,0.028584924,0.022773407,0.002269101,0.063008706,0.027911855,0.003936238,-0.002400553,0.015280962,0.015212359,0.008384465,0.015638849,0.014369229,0.06051854,0.010386388,0.021654998,-0.000291231,0.005022991,0.008125159,0.010270921,-0.001471479,0.02746249,0.036612087,0.017609663,-0.0016135,0.009183075,-0.003841398,0.001926464,0.044720667,0.029060192,-0.020425925,-0.002359549,0.029269376,0.015854961,0.068328405,0.01224026,-0.004240131,0.020842603,0.035157878,0.035509722,0.0101,0.006770716,0.06371703,0.012807405,-0.004082195,0.004591792,0.052344467,0.003600137,-0.012274897,0.033020623,0.026239635,0.028571353,0.013237253
2/16/2022 0:00,0.001120794,-0.001388886,-0.001167268,0.01015904,0.001040753,0.008268163,0.007784442,-0.020181026,0.000603774,-0.001739463,0.001809616,-0.000597616,0.003805723,-0.008973617,0.007588173,0.0043894,-0.00230168,0.003643037,-0.002209266,0.004615915,0.010535192,-0.000368474,-0.009224021,-0.003753885,0.000298062,0.002048723,-0.011353165,-0.000164105,0.007667815,0.000832509,-0.023020677,-0.002419799,0.013083955,-0.002957527,-0.01171526,-0.004335197,-0.004111016,0.000749655,-0.042612145,-0.006251363,-0.002312023,-0.007582573,0.007135844,-0.002836751,-0.016433817,0.006250877,-0.005128829,-0.004778648,0.006392845,0.012457115,0.001864551,-0.031118784,0.018008898,0.017324686,0.000701031,-0.008975394,-0.002479926,-0.022043937,-0.007314019,-0.002508565,0.008009267,-0.007270844,-0.003458221,0.00942022,0.007549969,-0.000746276,-0.010688662,-0.005715897,0.00285458,0.005511399,0.001130697,-0.005848945,0.007089226,-0.004541719,-0.008515233,0.004855345,0.006325454,0.005909778,0.003040806,0.002020556,-0.007219122,0.000625002,0.003061982,-0.010868171,-0.001301353,0.025842871,-0.003871727,0.001078432,-0.013501156,-0.003957489,0.006757065,-0.002429043,0.005763052,0.038879208,0.009293962,0.012244308,0.003362608,0.015301023,-0.001388864,-0.025983429
2/17/2022 0:00,-0.021361318,-0.021269117,-0.029282106,-0.021808901,-0.050942699,-0.03774561,-0.037668884,-0.040777625,-0.075591127,-0.006652958,-0.023032324,-0.006100265,-0.020227124,-0.006141256,0.011455172,-0.018398775,-0.033766912,-0.024103572,-0.01570055,-0.001531368,-0.02174614,0.028018462,-0.030491766,-0.041846389,-0.00513777,0.002705884,-0.017825061,0.020032794,-0.006169818,-0.027448544,-0.028662514,-0.025064592,-0.03239248,0.005093618,-0.055303705,-0.013684323,-0.03422765,0.003370767,-0.04830834,0.040065969,-0.033603789,-0.011136985,-0.01877191,-0.008534525,-0.007518875,-0.025189405,0.005902314,-0.014184325,-0.015995739,-0.021338651,0.001993764,-0.045203497,-0.011110649,0.002957783,-0.06053211,-0.021364444,-0.0236432,-0.0494315,-0.014057279,-0.003106328,-0.031852871,-0.046217909,-0.037053731,-0.015778268,-0.004116089,-0.033457726,-0.030523411,-0.004401286,-0.026703259,-0.024436994,-0.043704516,-0.032590073,-0.022378703,-0.015753433,-0.007618891,-0.029089934,-0.024249597,0.010531039,-0.018333986,-0.013459093,-0.025681163,-0.024255633,-0.01309008,-0.035681957,-0.042546014,-0.029338672,-0.026096543,-0.018507658,-0.010354196,-0.018361115,-0.034948963,0.005326447,0.01501688,-0.046988223,-0.009854637,0.004833185,-0.030856272,-0.031925362,-0.033379644,-0.028763007
2/18/2022 0:00,-0.006475082,-0.00935581,-0.009630969,-0.013261958,-0.022103035,-0.016116023,-0.013914476,-0.007462342,-0.03529611,0.003986605,0.004688792,-0.010718678,-0.005379104,-0.003075305,0.000500326,-0.008548075,-0.002387612,-0.010034841,-0.007566418,-0.011121104,-0.01039553,0.02582036,0.001709763,-0.033099548,-0.001422156,0.005757107,-0.00628992,0.006761125,-0.006484115,-0.002779638,0.01194816,-0.031431414,-0.005357506,-0.004543637,-0.01594762,-0.05318484,-0.009260951,0.004665915,-0.014733797,-0.006408369,0.005035916,0.000130969,-0.00273895,-0.0013151,0.004629628,0.001050214,-0.008690202,-0.004915351,0.01301143,0.012693678,-0.016317178,0.012992783,0.000796894,-0.002591631,-0.030190576,0.00081254,-0.013326806,-0.007592431,-0.011012771,0.002374123,-0.0228623,-0.0127102,-0.004766313,-0.001661881,-0.010491629,-0.008808591,-0.008651841,-0.004104986,-0.008498433,-0.021303507,-0.014326884,-0.00496128,0.003116548,-0.001005763,-0.005094845,-0.058602549,-0.011616404,-0.016783825,0.001911696,-0.004240951,-0.030037019,-0.031260059,-0.00739198,-0.006862054,-0.017216068,-0.002873545,0.028506269,-5.00E-05,-0.009063895,-0.018291077,-0.000645773,-0.000908345,0.007202615,-0.000436301,-0.003915877,-0.005941792,-0.013673645,-0.004506457,-0.003677112,0.015037533
2/22/2022 0:00,-0.010731629,-0.017812189,-0.000729291,-0.015753495,-0.041366242,-0.004520546,-0.008162971,-0.019790463,-0.010659098,-0.002032987,-0.001774619,-0.013589688,-0.011329296,-0.088505627,-0.01232012,-0.006152136,-0.008703166,-0.004486988,-0.020605853,-0.011633966,-0.021604151,-0.015906386,-0.004361936,-0.009399864,-0.007645039,0.003816195,-0.013497402,-0.004157344,0.010622761,0.006432365,-0.03554909,0.006164849,-0.000217993,-0.020461442,-0.008687215,-0.007770904,-0.006291633,0.001300404,-0.004631002,-0.011160395,-0.010438969,-0.005499569,-0.004910307,0.008379839,-0.005027209,-0.03329832,-0.002809737,-0.036373454,-0.030608276,-0.000299953,-0.00498991,0.015988752,-0.019586825,-0.027058436,0.004260126,-0.001862817,0.002360919,-0.007021446,0.031218961,-0.001480487,-0.021410827,-0.006034656,-0.012148068,-0.002056135,0.00182061,-0.003897638,-0.005115061,0.002898915,-0.013941597,-0.049227352,-0.003855028,-0.003457903,-0.002463988,-0.000306481,-0.001262641,0.015751352,0.011468058,-0.020082417,-0.03933653,-0.012520611,-0.041506279,-0.002533018,0.004172436,-0.005893633,-0.010539352,-0.037528501,-0.041574333,-0.002743865,-0.006376936,-0.018017918,0.009494319,0.007121266,-0.008890638,0.003242851,-0.001146517,-0.000672637,0.008342109,-0.037654269,-0.002246486,-0.013605338
2/23/2022 0:00,-0.017738669,-0.025864265,-0.025893286,-0.035756247,-0.069979176,-0.017143899,-0.014045303,-0.017963207,-0.042881448,-0.013273534,-0.020939103,0.000496419,-0.006248576,-0.024417359,-0.012473799,-0.024263404,-0.017120307,-0.019169742,-0.013885886,0.004054285,-0.014990893,-0.033037283,-0.021248366,-0.020415105,0.023791575,-0.009860414,-0.002472129,-0.01107895,0.008243871,-0.038559923,-0.026286537,-0.002212583,-0.024757859,-0.013779926,-0.023522839,-0.00089488,-0.02405927,-0.009091003,-0.023747184,-0.01026023,-0.025739995,-0.001448334,-0.003429081,-0.019430042,-0.010105218,-0.009841352,-0.014238342,0.002330045,-0.008515258,-0.006299112,-0.019788626,-0.050929523,-0.005887832,0,-0.03362643,-0.021486416,-0.019719608,-0.012664954,-0.006652609,0.007116501,-0.018424763,-0.022261202,-0.023885604,0.003139661,-0.013897832,-0.01048685,-0.008946451,-0.001851741,-0.017424921,-0.01167358,-0.023743676,-0.014928965,-0.037160406,-0.00402861,-0.011308662,-0.015931922,-0.026408451,0.00455431,-0.032849569,-0.018135452,-0.04596083,-0.035994243,-0.018093399,-0.016149934,-0.046260131,-0.019215912,-0.019664521,-0.018058977,-0.015991616,-0.030961773,-0.020041263,-0.002858429,0.013065623,-0.027287413,0.00606753,0.006991128,0.013628462,-0.008338602,-0.025410082,-0.042145583
2/24/2022 0:00,0.015049103,0.016680344,0.05109359,0.045095224,0.048073455,0.0399959,0.039883163,0.046107379,0.060794164,-0.00551628,-0.027843075,-0.019104345,-0.008115323,0.015529181,-0.026930202,0.006251425,-0.026351108,0.022561867,-0.019415458,-0.012634908,0.024199622,0.005327053,0.026203651,0.080032586,-0.00516414,-0.01739775,0.02192657,-0.017535368,-0.010152425,0.019499174,0.061421673,0.01253736,0.009611793,0.020837492,0.072163328,0.046360509,-0.022984205,-0.015352853,0.042692567,-0.00385039,0.039351619,-0.030722438,0.020015934,-0.011138524,-0.011909924,0.002484679,0.034947945,-0.007810609,-0.020062572,0.023846921,0.043141632,0.062408877,-0.011151078,-0.053411894,0.06451822,0.013253182,0.024497077,-0.01859977,0.002911893,-0.012218586,0.043485004,0.032289212,-0.003391903,-0.014377919,0.027471947,-0.040335351,-0.002930945,-0.007828041,-0.000955543,0.010233146,-0.010606904,-0.000819206,0.015170103,0.018905277,0.018258101,-0.00118727,0.04296566,-0.005667055,0.008688813,-0.003175433,0.015525025,0.017409249,0.022256761,-0.004709791,0.093863158,-0.070786278,0.011799286,0.020021439,0.020795596,0.037777329,-0.017084525,-0.024592599,-0.045813384,0.026070621,-0.012061874,0.017510979,0.016087212,-0.000646914,-0.022937346,0.035039963
2/25/2022 0:00,0.022064038,0.012965338,0.009233157,0.01605793,0.011364031,0.013328025,0.01391392,0.013872782,0.017222579,0.035552068,0.023659532,0.049702844,0.043563029,0.010886254,0.042699171,0.009065792,0.03256896,-0.000785229,0.038294203,0.026912772,0.00087018,0.023935626,0.013810275,0.003708338,0.041008657,0.028023901,0.01788332,0.038671275,0.029393411,0.023038493,0.001974179,0.031081539,0.020052567,0.023557165,0.018601024,0.021189988,0.026560398,0.029092857,0.056370272,0.013751666,0.017561469,0.03822604,0.031964788,0.018038566,0.029272442,0.01188316,0.028317828,0.027037029,0.042909671,0.007252933,0.02279954,0.038161366,0.022830082,0.023834905,-0.020014944,0.013321091,0.034112114,0.029844365,0.024291074,0.025335431,0.01723888,0.020585439,0.042299844,0.035030356,0.04106107,0.021592286,0.029189641,0.035390086,0.026072928,0.015370676,0.012832255,0.018119202,0.017250958,0.008241677,0.035721679,0.041387457,0.017789045,0.040350943,0.040041793,0.028457678,0.012311899,0.014296952,-0.002069726,0.0473905,0.010941664,-0.005899799,0.03965016,0.020677258,0.019691091,0.018334151,0.036092155,0.032637406,0.038531414,0.014581655,0.008414382,0.034823363,0.031392984,0.023300986,0.063502882,0.032308047
2/28/2022 0:00,-0.002558519,0.001637743,0.004977992,-0.001466263,0.074777469,0.004443744,0.002761724,0.002613089,0.00943829,0.00692276,-0.041697532,-0.008614418,0.000252205,-0.002589675,-0.014850948,-0.014365871,-0.018214138,-0.022406354,-0.016345417,0.007451217,-0.007155702,-0.004817983,-0.000969276,0.004596778,0.025787054,-0.027556693,-0.010603376,-0.009705595,-0.011836181,-0.006585834,0.009518939,-0.014622985,-0.020123582,0.003400942,0.011725708,-0.000209517,-0.013675981,-0.008314772,0.008923723,-0.008945644,0.006201484,0.003406775,-0.003587799,-0.013302699,-0.009200945,-0.016210422,-0.017332105,0.008577545,-0.014286144,-0.004859041,0.020003959,0.018833627,-0.001866786,-0.03962365,-0.026294217,0.002238715,0.006310984,-0.040296153,-0.00803106,-0.001889528,-0.011199472,-0.00497706,-0.015043783,-0.006232077,0.046677383,-0.044369195,-0.025219926,-0.002422604,-0.00929578,0.019158233,0.002779873,-0.013448256,-0.008533239,-0.029059458,-0.017514179,-0.008923945,-0.010834462,0.039334023,0.002760776,0.004284737,0.037581202,-0.013762552,-0.013626002,-0.012357977,-0.000534267,-0.047868454,-0.015142831,0.000391394,-0.005444149,-0.02067347,-0.01687461,-0.019173338,-0.003690674,-0.011287956,-0.011780044,0.066660171,-0.009180182,-0.014969411,-0.011910492,-0.010182896
